ID_Registro,Ciudad,Fecha,Hora,Latitud,Longitud,Tipo_Zona,Tipo_Sensor,Fuente_Principal_Ruido,Nivel_Ruido_dB,Clasificacion_Normativa,Indice_Movilidad,Flujo_Vehicular_veh_h,Velocidad_Promedio_kmh,Saturacion_Transporte,Condicion_Climatica,Calidad_Señal_Sensor,Observaciones
COL-0006,Barranquilla,2024-01-05,3,10.9473,-74.8177,Comercial,Sensor_Fijo,Tráfico_Vehicular,60.3,Moderado,33,336,39.2,0.35,Despejado,0.73,Obra en construcción
COL-0741,Barranquilla,2024-01-12,12,10.9257,-74.752,Mixta,Sensor_Móvil,Industrial,73.9,Crítico,62,667,36.0,0.86,Nublado,0.73,Alta afluencia peatonal
COL-0985,Barranquilla,2024-01-20,12,11.0021,-74.7814,Residencial,Sensor_Fijo,Mixta,52.0,Moderado,38,419,39.0,0.44,Nublado,0.75,Moto dañada transitando
COL-0756,Barranquilla,2024-01-22,23,11.0038,-74.8438,Residencial,Sensor_Ciudadano,Industrial,51.9,Moderado,1,10,58.0,0.13,Nublado,0.81,Evento especial cercano
COL-0368,Barranquilla,2024-01-26,9,10.9614,-74.8298,Industrial,Sensor_Ciudadano,Tráfico_Vehicular,94.2,Crítico,79,944,30.2,1.0,Despejado,0.91,Alta afluencia peatonal
COL-0525,Barranquilla,2024-01-31,2,10.9895,-74.7958,Hospitalaria,Sensor_Fijo,Transporte_Público,39.7,Moderado,4,57,64.3,0.0,Despejado,0.72,Moto dañada transitando
COL-0447,Barranquilla,2024-02-11,19,10.9947,-74.7909,Residencial,Sensor_Móvil,Mixta,59.5,Alto,54,676,40.5,0.63,Despejado,0.88,Festival o concierto
COL-0266,Barranquilla,2024-02-18,2,11.0114,-74.827,Residencial,Sensor_Fijo,Construcción,53.6,Moderado,2,25,62.6,0.0,Nublado,0.9,Mercado informal
COL-0424,Barranquilla,2024-03-02,17,10.9523,-74.8256,Comercial,Sensor_Móvil,Industrial,87.7,Crítico,84,891,22.9,1.0,Despejado,0.87,Obra en construcción
COL-0961,Barranquilla,2024-03-16,19,10.9391,-74.7891,Mixta,Sensor_Ciudadano,Tráfico_Vehicular,73.4,Crítico,88,1121,17.0,1.0,Despejado,0.84,Alta afluencia peatonal
COL-0249,Barranquilla,2024-03-20,8,10.9707,-74.7584,Residencial,Sensor_Móvil,Mixta,51.4,Moderado,54,497,34.5,0.74,Despejado,0.73,Alta afluencia peatonal
COL-0546,Barranquilla,2024-03-22,15,10.9877,-74.822,Residencial,Sensor_Fijo,Transporte_Público,58.4,Alto,38,560,54.2,0.53,Nublado,0.75,Alta afluencia peatonal
COL-0681,Barranquilla,2024-03-30,16,10.9819,-74.8232,Industrial,Sensor_Fijo,Comercio,76.6,Moderado,47,549,40.1,0.71,Despejado,0.89,Festival o concierto
COL-0908,Barranquilla,2024-04-11,6,11.0108,-74.8261,Comercial,Sensor_Fijo,Transporte_Público,58.4,Bajo,67,999,41.2,0.89,Lluvioso,0.99,Operación normal
COL-0693,Barranquilla,2024-05-19,7,10.9832,-74.7795,Industrial,Sensor_Fijo,Transporte_Público,82.2,Alto,75,743,30.7,0.98,Despejado,0.94,Evento especial cercano
COL-0712,Barranquilla,2024-06-28,15,11.0099,-74.7985,Comercial,Sensor_Móvil,Tráfico_Vehicular,72.7,Alto,57,740,44.7,0.85,Despejado,0.87,Semáforo averiado
COL-0707,Barranquilla,2024-07-02,20,10.9542,-74.7743,Residencial,Sensor_Fijo,Comercio,52.5,Moderado,32,264,46.9,0.45,Despejado,0.87,Festival o concierto
COL-0535,Barranquilla,2024-07-09,21,10.9724,-74.7975,Residencial,Sensor_Móvil,Tráfico_Vehicular,43.2,Bajo,24,270,52.6,0.29,Despejado,0.97,Mercado informal
COL-0835,Barranquilla,2024-07-10,2,10.9181,-74.8028,Residencial,Sensor_Fijo,Construcción,53.0,Moderado,1,9,75.1,0.0,Despejado,0.91,Operación normal
COL-0381,Barranquilla,2024-07-10,22,10.9801,-74.77,Hospitalaria,Sensor_Fijo,Tráfico_Vehicular,43.1,Moderado,5,64,50.7,0.21,Despejado,0.96,Evento especial cercano
COL-0783,Barranquilla,2024-07-14,21,10.9711,-74.8177,Residencial,Sensor_Ciudadano,Comercio,47.1,Moderado,32,372,49.5,0.42,Nublado,0.93,Evento especial cercano
COL-0377,Barranquilla,2024-08-05,2,11.0096,-74.8294,Educativa,Sensor_Fijo,Tráfico_Vehicular,45.2,Bajo,3,31,59.4,0.0,Lluvioso,0.71,Medición estándar
COL-0361,Barranquilla,2024-11-05,13,10.967,-74.837,Comercial,Sensor_Fijo,Tráfico_Vehicular,67.1,Moderado,54,485,38.2,0.64,Despejado,0.74,Festival o concierto
COL-0619,Barranquilla,2024-11-05,23,10.967,-74.8276,Hospitalaria,Sensor_Fijo,Comercio,40.5,Moderado,3,26,52.1,0.11,Despejado,0.8,Mercado informal
COL-0234,Barranquilla,2024-11-15,20,11.0032,-74.8057,Mixta,Sensor_Ciudadano,Transporte_Público,66.4,Alto,60,529,24.4,0.88,Nublado,0.73,Operación normal
COL-0727,Barranquilla,2024-11-16,2,10.979,-74.7488,Comercial,Sensor_Ciudadano,Tráfico_Vehicular,57.0,Bajo,35,291,41.9,0.54,Nublado,0.73,Operación normal
COL-0929,Barranquilla,2024-11-20,7,10.9263,-74.7682,Residencial,Sensor_Móvil,Tráfico_Vehicular,64.4,Crítico,52,539,36.1,0.66,Lluvioso,0.86,Evento especial cercano
COL-0690,Barranquilla,2024-11-29,18,10.9771,-74.7576,Comercial,Sensor_Fijo,Industrial,82.8,Crítico,85,1095,24.2,1.0,Lluvioso,0.89,Medición estándar
COL-0617,Barranquilla,2024-12-13,14,10.9384,-74.7784,Comercial,Sensor_Fijo,Comercio,69.1,Moderado,66,764,34.6,0.77,Nublado,0.98,Festival o concierto
COL-0102,Barranquilla,2024-12-22,4,10.9338,-74.7648,Mixta,Sensor_Fijo,Tráfico_Vehicular,52.2,Bajo,29,233,60.1,0.48,Nublado,0.78,Festival o concierto
COL-0643,Barranquilla,2025-01-23,0,10.9533,-74.8072,Residencial,Sensor_Ciudadano,Transporte_Público,43.4,Bajo,0,0,66.6,0.05,Nublado,0.71,Evento especial cercano
COL-0814,Barranquilla,2025-02-08,5,10.9729,-74.7465,Mixta,Sensor_Fijo,Transporte_Público,55.1,Bajo,24,192,48.9,0.44,Nublado,0.79,Evento especial cercano
COL-0168,Barranquilla,2025-02-13,8,11.0015,-74.8038,Residencial,Sensor_Fijo,Tráfico_Vehicular,52.6,Moderado,62,702,37.6,0.76,Nublado,0.85,Medición estándar
COL-0768,Barranquilla,2025-02-24,19,10.921,-74.7924,Residencial,Sensor_Fijo,Tráfico_Vehicular,65.1,Crítico,59,555,37.5,0.72,Ventoso,0.94,Semáforo averiado
COL-0989,Barranquilla,2025-03-13,22,10.988,-74.7821,Industrial,Sensor_Fijo,Industrial,83.5,Alto,10,101,59.1,0.24,Despejado,0.88,Operación normal
COL-0064,Barranquilla,2025-04-30,20,10.9701,-74.7677,Comercial,Sensor_Fijo,Tráfico_Vehicular,65.0,Moderado,68,937,27.1,0.94,Nublado,0.88,Medición estándar
COL-0374,Barranquilla,2025-05-01,23,10.9402,-74.7906,Residencial,Sensor_Ciudadano,Construcción,40.9,Bajo,0,0,57.4,0.1,Nublado,1.0,Semáforo averiado
COL-0921,Barranquilla,2025-05-27,22,10.9546,-74.7484,Mixta,Sensor_Móvil,Transporte_Público,62.3,Moderado,20,282,53.3,0.23,Lluvioso,0.85,Festival o concierto
COL-0732,Barranquilla,2025-05-29,21,11.0071,-74.8155,Residencial,Sensor_Fijo,Tráfico_Vehicular,44.8,Bajo,20,207,51.3,0.31,Lluvioso,0.75,Mercado informal
COL-0182,Barranquilla,2025-06-01,7,10.9391,-74.7539,Mixta,Sensor_Fijo,Tráfico_Vehicular,71.3,Alto,76,901,29.4,0.93,Despejado,0.92,Alta afluencia peatonal
COL-0820,Barranquilla,2025-06-07,13,10.9756,-74.7483,Residencial,Sensor_Fijo,Eventos,49.1,Moderado,38,322,49.6,0.55,Nublado,0.73,Medición estándar
COL-0373,Barranquilla,2025-06-13,0,10.9169,-74.7576,Residencial,Sensor_Fijo,Tráfico_Vehicular,34.4,Bajo,0,0,57.6,0.12,Despejado,0.92,Moto dañada transitando
COL-0605,Barranquilla,2025-06-13,7,10.9224,-74.7878,Industrial,Sensor_Móvil,Comercio,89.3,Crítico,72,643,32.8,0.82,Despejado,0.87,Operación normal
COL-0944,Barranquilla,2025-06-14,22,10.9602,-74.8166,Educativa,Sensor_Fijo,Transporte_Público,50.1,Moderado,0,0,62.6,0.0,Despejado,0.96,Mercado informal
COL-0295,Barranquilla,2025-06-19,14,10.9954,-74.7814,Mixta,Sensor_Móvil,Tráfico_Vehicular,66.9,Alto,55,594,35.6,0.67,Nublado,0.75,Evento especial cercano
COL-0597,Barranquilla,2025-07-18,13,10.9723,-74.7496,Residencial,Sensor_Fijo,Construcción,60.7,Crítico,35,396,44.0,0.38,Lluvioso,0.9,Mercado informal
COL-0842,Barranquilla,2025-08-03,21,10.9636,-74.8222,Residencial,Sensor_Ciudadano,Comercio,52.8,Moderado,28,359,46.1,0.43,Lluvioso,0.8,Medición estándar
COL-0523,Barranquilla,2025-08-06,10,10.9424,-74.7527,Mixta,Sensor_Fijo,Comercio,65.3,Alto,48,418,42.2,0.69,Nublado,0.8,Evento especial cercano
COL-0075,Barranquilla,2025-08-10,23,10.9505,-74.7974,Residencial,Sensor_Fijo,Comercio,37.7,Bajo,0,0,61.9,0.04,Nublado,0.78,Obra en construcción
COL-0005,Barranquilla,2025-08-13,4,10.9277,-74.8246,Comercial,Sensor_Fijo,Eventos,58.0,Bajo,34,476,36.8,0.43,Despejado,0.87,Semáforo averiado
COL-0427,Barranquilla,2025-09-06,7,10.9141,-74.7977,Residencial,Sensor_Fijo,Transporte_Público,51.4,Moderado,64,530,26.2,0.85,Nublado,0.77,Obra en construcción
COL-0611,Barranquilla,2025-09-22,8,10.9859,-74.7836,Residencial,Sensor_Fijo,Industrial,70.4,Crítico,63,666,37.5,0.71,Despejado,0.77,Moto dañada transitando
COL-0413,Barranquilla,2025-10-22,4,10.9154,-74.8065,Comercial,Sensor_Fijo,Mixta,59.6,Moderado,23,336,45.1,0.29,Despejado,0.75,Evento especial cercano
COL-0837,Barranquilla,2025-10-24,17,10.9642,-74.7976,Comercial,Sensor_Fijo,Tráfico_Vehicular,77.9,Crítico,82,1025,29.7,1.0,Despejado,0.78,Semáforo averiado
COL-0907,Barranquilla,2025-11-03,18,10.954,-74.8387,Comercial,Sensor_Fijo,Eventos,80.7,Crítico,89,1230,26.8,1.0,Nublado,0.77,Alta afluencia peatonal
COL-0711,Barranquilla,2025-11-13,2,10.9715,-74.8003,Residencial,Sensor_Móvil,Mixta,36.8,Bajo,3,25,60.2,0.14,Despejado,0.99,Festival o concierto
COL-0488,Barranquilla,2025-11-19,17,10.9954,-74.7932,Mixta,Sensor_Fijo,Tráfico_Vehicular,72.1,Crítico,85,683,22.4,1.0,Nublado,0.75,Festival o concierto
COL-0452,Barranquilla,2025-12-10,23,11.0001,-74.769,Residencial,Sensor_Fijo,Tráfico_Vehicular,40.9,Bajo,3,40,64.3,0.19,Nublado,0.77,Mercado informal
COL-0193,Bogotá,2022-01-13,4,4.676,-74.11,Residencial,Sensor_Ciudadano,Construcción,44.0,Bajo,0,0,55.5,0.14,Ventoso,0.88,Medición estándar
COL-0046,Bogotá,2022-01-31,18,4.747,-74.0454,Comercial,Sensor_Fijo,Transporte_Público,73.8,Alto,88,1237,31.7,1.0,Despejado,0.86,Medición estándar
COL-0461,Bogotá,2022-02-07,16,4.714,-74.0404,Mixta,Sensor_Fijo,Transporte_Público,71.2,Alto,45,598,37.4,0.51,Lluvioso,0.92,Semáforo averiado
COL-0622,Bogotá,2022-02-11,4,4.7176,-74.0994,Educativa,Sensor_Fijo,Construcción,52.9,Moderado,5,48,61.3,0.13,Ventoso,0.95,Medición estándar
COL-0044,Bogotá,2022-02-22,15,4.7448,-74.0917,Mixta,Sensor_Fijo,Tráfico_Vehicular,67.4,Alto,65,664,34.0,0.77,Nublado,0.79,Evento especial cercano
COL-0543,Bogotá,2022-02-24,21,4.7302,-74.1145,Hospitalaria,Sensor_Móvil,Industrial,51.9,Crítico,40,514,50.3,0.6,Nublado,0.97,Operación normal
COL-0898,Bogotá,2022-03-04,15,4.6891,-74.048,Mixta,Sensor_Fijo,Tráfico_Vehicular,63.2,Moderado,57,750,34.7,0.65,Nublado,0.82,Festival o concierto
COL-0276,Bogotá,2022-03-28,8,4.7224,-74.0708,Comercial,Sensor_Fijo,Eventos,82.4,Crítico,83,753,22.4,1.0,Despejado,0.98,Evento especial cercano
COL-0070,Bogotá,2022-03-30,18,4.6896,-74.1037,Comercial,Sensor_Fijo,Eventos,71.4,Alto,87,1248,25.0,1.0,Despejado,0.78,Operación normal
COL-0659,Bogotá,2022-03-31,17,4.6636,-74.0481,Residencial,Sensor_Móvil,Construcción,57.8,Alto,53,674,30.9,0.79,Nublado,0.79,Obra en construcción
COL-0492,Bogotá,2022-03-31,20,4.697,-74.1099,Comercial,Sensor_Fijo,Tráfico_Vehicular,72.8,Alto,63,926,33.2,0.87,Despejado,0.72,Mercado informal
COL-0247,Bogotá,2022-04-04,14,4.7411,-74.0803,Industrial,Sensor_Móvil,Construcción,97.0,Crítico,49,628,30.0,0.55,Lluvioso,0.75,Festival o concierto
COL-0020,Bogotá,2022-04-14,1,4.7098,-74.0541,Residencial,Sensor_Fijo,Transporte_Público,39.3,Bajo,0,0,64.4,0.08,Despejado,0.94,Evento especial cercano
COL-0415,Bogotá,2022-04-18,7,4.7585,-74.0818,Comercial,Sensor_Fijo,Eventos,76.7,Alto,94,1115,24.0,1.0,Nublado,0.91,Obra en construcción
COL-0359,Bogotá,2022-04-26,4,4.6756,-74.1073,Mixta,Sensor_Fijo,Tráfico_Vehicular,50.2,Bajo,19,192,40.3,0.29,Nublado,0.82,Moto dañada transitando
COL-0367,Bogotá,2022-04-27,21,4.7454,-74.0294,Educativa,Sensor_Fijo,Transporte_Público,58.6,Alto,31,338,52.2,0.3,Nublado,0.76,Mercado informal
COL-0721,Bogotá,2022-04-28,6,4.6965,-74.0803,Hospitalaria,Sensor_Móvil,Comercio,43.2,Moderado,30,285,51.8,0.44,Lluvioso,0.82,Obra en construcción
COL-0913,Bogotá,2022-05-03,17,4.703,-74.093,Industrial,Sensor_Fijo,Transporte_Público,86.1,Alto,75,995,28.5,0.97,Despejado,0.8,Medición estándar
COL-0059,Bogotá,2022-05-11,20,4.684,-74.0475,Residencial,Sensor_Fijo,Transporte_Público,52.0,Moderado,23,209,52.5,0.35,Lluvioso,0.77,Festival o concierto
COL-0091,Bogotá,2022-05-15,13,4.7403,-74.0574,Mixta,Sensor_Fijo,Tráfico_Vehicular,57.9,Moderado,56,676,38.5,0.8,Nublado,0.83,Medición estándar
COL-0086,Bogotá,2022-05-31,0,4.7484,-74.053,Comercial,Sensor_Fijo,Tráfico_Vehicular,58.3,Bajo,29,316,48.8,0.27,Lluvioso,0.95,Obra en construcción
COL-0334,Bogotá,2022-06-04,2,4.6792,-74.1088,Residencial,Sensor_Fijo,Tráfico_Vehicular,43.0,Bajo,1,12,60.7,0.0,Ventoso,0.8,Evento especial cercano
COL-0314,Bogotá,2022-06-06,14,4.6726,-74.0838,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,52.4,Moderado,36,427,43.7,0.41,Despejado,0.71,Semáforo averiado
COL-0431,Bogotá,2022-06-16,8,4.7198,-74.0263,Comercial,Sensor_Fijo,Tráfico_Vehicular,74.0,Alto,95,941,20.6,1.0,Despejado,0.98,Medición estándar
COL-0887,Bogotá,2022-06-16,22,4.6925,-74.0775,Residencial,Sensor_Fijo,Tráfico_Vehicular,48.3,Moderado,2,28,62.9,0.0,Nublado,1.0,Operación normal
COL-0135,Bogotá,2022-06-24,6,4.7335,-74.0495,Residencial,Sensor_Fijo,Tráfico_Vehicular,39.8,Bajo,25,331,48.0,0.27,Despejado,0.75,Festival o concierto
COL-0299,Bogotá,2022-06-30,21,4.7543,-74.0843,Comercial,Sensor_Móvil,Tráfico_Vehicular,68.3,Moderado,68,571,38.1,0.98,Despejado,0.96,Medición estándar
COL-0013,Bogotá,2022-07-07,6,4.7414,-74.0287,Mixta,Sensor_Móvil,Transporte_Público,55.3,Moderado,63,922,28.7,0.77,Despejado,0.87,Operación normal
COL-0455,Bogotá,2022-07-11,14,4.7362,-74.0878,Residencial,Sensor_Fijo,Tráfico_Vehicular,54.1,Moderado,31,458,43.8,0.3,Lluvioso,0.99,Festival o concierto
COL-0940,Bogotá,2022-07-18,18,4.6968,-74.0527,Mixta,Sensor_Fijo,Transporte_Público,73.1,Crítico,78,839,36.4,0.89,Despejado,0.83,Semáforo averiado
COL-0474,Bogotá,2022-07-27,21,4.7002,-74.0513,Residencial,Sensor_Ciudadano,Construcción,58.3,Alto,24,235,53.4,0.28,Despejado,0.77,Alta afluencia peatonal
COL-0637,Bogotá,2022-08-01,4,4.7484,-74.0774,Comercial,Sensor_Fijo,Comercio,57.3,Bajo,29,319,54.2,0.28,Nublado,0.81,Moto dañada transitando
COL-0931,Bogotá,2022-08-06,21,4.7559,-74.0375,Residencial,Sensor_Fijo,Transporte_Público,44.8,Bajo,23,276,50.5,0.28,Despejado,0.73,Mercado informal
COL-0166,Bogotá,2022-08-10,6,4.7458,-74.0625,Comercial,Sensor_Móvil,Tráfico_Vehicular,57.0,Bajo,53,732,40.8,0.64,Ventoso,0.92,Festival o concierto
COL-0082,Bogotá,2022-08-10,18,4.6785,-74.0361,Hospitalaria,Sensor_Móvil,Mixta,62.3,Crítico,70,747,36.9,0.97,Despejado,0.91,Festival o concierto
COL-0042,Bogotá,2022-08-14,16,4.7103,-74.0574,Comercial,Sensor_Fijo,Construcción,79.4,Crítico,57,574,35.0,0.74,Nublado,0.98,Medición estándar
COL-0238,Bogotá,2022-08-16,4,4.7542,-74.0392,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,43.2,Bajo,0,0,59.2,0.0,Lluvioso,0.75,Evento especial cercano
COL-0592,Bogotá,2022-08-16,8,4.6611,-74.0368,Comercial,Sensor_Móvil,Tráfico_Vehicular,69.7,Moderado,92,1219,24.2,1.0,Despejado,0.91,Semáforo averiado
